epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
1,0.5005624294281006,0.4856994152069092,1.10877525806427,0.5053763389587402,0.4616674482822418,0.746526837348938,9.999999747378752e-05
2,0.49831271171569824,0.5140774250030518,0.7506172060966492,0.5053763389587402,0.48381125926971436,0.7512177228927612,9.999999747378752e-05
3,0.47019124031066895,0.4672727584838867,0.7304688692092896,0.48924732208251953,0.491211861371994,0.6996155381202698,9.999999747378752e-05
4,0.5151855945587158,0.5279874205589294,0.6985008120536804,0.5053763389587402,0.5068223476409912,0.6988098621368408,9.999999747378752e-05
5,0.5050618648529053,0.47809898853302,0.7126767039299011,0.49462366104125977,0.5370028018951416,0.6992077827453613,9.999999747378752e-05
6,0.4870641231536865,0.48329025506973267,0.7014256119728088,0.4784946143627167,0.4961841106414795,0.6992907524108887,9.999999747378752e-05
7,0.5061867237091064,0.48756086826324463,0.7001498341560364,0.5107526779174805,0.5409342646598816,0.6987329125404358,9.999999747378752e-05
8,0.5241844654083252,0.4919101297855377,0.6995209455490112,0.5053763389587402,0.5523820519447327,0.6985293030738831,9.999999747378752e-05
9,0.5196850299835205,0.48713991045951843,0.7002024054527283,0.5053763389587402,0.5509944558143616,0.6985249519348145,9.999999747378752e-05
10,0.5106861591339111,0.48623454570770264,0.698947012424469,0.5053763389587402,0.5603607296943665,0.6984831094741821,9.999999747378752e-05
11,0.5174353122711182,0.516336977481842,0.6975666880607605,0.5053763389587402,0.5507631897926331,0.6984991431236267,9.999999747378752e-05
12,0.5253093242645264,0.5525562763214111,0.6952908635139465,0.5053763389587402,0.5276364088058472,0.698707640171051,9.999999747378752e-05
13,0.5241844654083252,0.49756544828414917,0.6998624801635742,0.5053763389587402,0.5681082010269165,0.6984904408454895,9.999999747378752e-05
14,0.5050618648529053,0.4768233895301819,0.7008987069129944,0.5,0.5862627029418945,0.6986262202262878,9.999999747378752e-05
15,0.5005624294281006,0.4752662777900696,0.7001383900642395,0.5053763389587402,0.6270814538002014,0.6986875534057617,4.999999873689376e-05
16,0.5084364414215088,0.48183709383010864,0.6988978385925293,0.5053763389587402,0.5048565864562988,0.6986866593360901,4.999999873689376e-05
17,0.5376827716827393,0.5443066358566284,0.696430504322052,0.5215053558349609,0.5151480436325073,0.6986644268035889,4.999999873689376e-05
18,0.5354330539703369,0.5225273966789246,0.6974651217460632,0.5053763389587402,0.5265957713127136,0.6986970901489258,4.999999873689376e-05
19,0.523059606552124,0.5132024884223938,0.6979752779006958,0.5053763389587402,0.4708603024482727,0.6990840435028076,4.999999873689376e-05
20,0.5196850299835205,0.5025258660316467,0.6985315680503845,0.5053763389587402,0.47253701090812683,0.6991235613822937,4.999999873689376e-05
21,0.5331833362579346,0.5232831239700317,0.6976937651634216,0.5053763389587402,0.4672756493091583,0.6991854310035706,2.499999936844688e-05
22,0.5309336185455322,0.5442103147506714,0.6959928274154663,0.5053763389587402,0.47693106532096863,0.6993562579154968,2.499999936844688e-05
23,0.5264341831207275,0.5409591197967529,0.6959314346313477,0.5053763389587402,0.4565795361995697,0.6996745467185974,2.499999936844688e-05
24,0.50956130027771,0.4733414053916931,0.7004470825195312,0.5053763389587402,0.48138299584388733,0.6995513439178467,2.499999936844688e-05
25,0.5241844654083252,0.5,0.6986795663833618,0.5053763389587402,0.47999536991119385,0.6991032958030701,2.499999936844688e-05
26,0.5151855945587158,0.5039764642715454,0.6991812586784363,0.5053763389587402,0.462361216545105,0.6990533471107483,2.499999936844688e-05
27,0.5253093242645264,0.5016281604766846,0.6978535652160645,0.5053763389587402,0.47051340341567993,0.6990885734558105,1.249999968422344e-05
