epoch,train_rmse,val_rmse,val_rmse_movavg,n_state_resets,C1_mean,C2_mean,R0_mean,R1_mean,R2_mean,gamma1_mean,M0_mean,M_mean,time_s
52,0.016701674373372905,0.029483735922233554,0.02520085460054712,0,37999.996421494296,37999.99232907143,0.03461159811752596,0.042877486574776795,0.02966904474017437,99.885075070599,-0.44839203184291576,0.9164074696034278,72.82219409942627
53,0.01712225208915165,0.021703341469684344,0.024947074211136747,0,37999.99650088454,37999.99249597249,0.041469540714060386,0.03864284603647083,0.026901393140828473,99.892167737704,-0.4287315780670953,0.8864358230738654,72.75580787658691
54,0.017800129998956773,0.023079767083334393,0.024921608828867046,0,37999.99650614291,37999.99239110172,0.03909436581274646,0.035572510213357576,0.040737699990474226,99.89065621564089,-0.44518753083490864,0.898286737895594,72.79939389228821
55,0.017546738889004602,0.021497828733050405,0.02337892140178581,0,37999.99648607177,37999.99238386695,0.035526823768584494,0.034187559404920645,0.047594112596902285,99.88767839357337,-0.4402958959481245,0.8956842369256411,72.85345697402954
56,0.017702216699763854,0.023675545202657897,0.023524094422812898,0,37999.99658530917,37999.99255003802,0.033640562687857554,0.03868666979166349,0.03851774526766676,99.89198940232289,-0.430818366803019,0.8824509648740392,72.83083486557007
57,0.017156876408313173,0.03124169814885072,0.024584903504299906,0,37999.99646942609,37999.992323159226,0.035521589508114876,0.05786306173365827,0.03863712106324118,99.88541086081963,-0.46460166706697476,0.9169466282961595,72.9784255027771
58,0.018796262444474743,0.02217536665005602,0.024474550216528813,0,37999.99655537701,37999.992452950304,0.03636312538261375,0.05118118925224575,0.04327387146050427,99.88662256897526,-0.4465648229541209,0.9034493964229755,73.08775782585144
59,0.018286183232875227,0.022081056866620225,0.024367292509560948,0,37999.99658058154,37999.99250691339,0.03371928552769262,0.05027508413052169,0.053602331079573094,99.89028296093404,-0.439818537953812,0.8927506245520174,73.06188201904297
60,0.017059549544435282,0.022419440243172165,0.02348425554967827,0,37999.99663346376,37999.992627118954,0.03708091842065895,0.04739089130450619,0.04947652224768537,99.896526291677,-0.42740068603825554,0.8736287219610215,72.89365530014038
61,0.017133154213357295,0.025671779557644395,0.023980310310673277,0,37999.99653560853,37999.99236583103,0.0380107280355619,0.04924436123481023,0.06329367672800698,99.8904111799163,-0.46133600472531416,0.9037078918813277,72.89015984535217
62,0.017337498622046234,0.02264514395516563,0.023925982419652186,0,37999.99653862162,37999.99241118042,0.03672966054701036,0.059072205253315656,0.04830049220970126,99.89140001524626,-0.45986868305111667,0.9111743843749273,72.81673192977905
63,0.016582351414800998,0.021584207655315362,0.023936779784935303,0,37999.996596509365,37999.992511823526,0.03479478796313729,0.0565923359195334,0.04446112739532238,99.89201577081847,-0.456803024274726,0.8971732687463911,72.9567084312439
64,0.016758250818498757,0.020805055909446934,0.023577968623283933,0,37999.99669464888,37999.992685027224,0.032038107547270614,0.05189098796107517,0.0408572526175633,99.89271194114846,-0.4461097973417034,0.8760780502266161,72.60316324234009
65,0.01786689283905486,0.021167152007883033,0.02231865035566297,0,37999.996692723515,37999.99265944483,0.03299268538686298,0.05774109880212568,0.05539378280813368,99.89347460663211,-0.45457196579402204,0.8827841575869081,72.92057704925537
66,0.016314956853897788,0.02303650519710376,0.02242629267404394,0,37999.996714663204,37999.99265426153,0.03000839241202694,0.04592431366992962,0.04826492803061432,99.89209962195167,-0.4559506778682694,0.8830147043621943,72.84306073188782
67,0.016457771009928904,0.021225374263392077,0.02231933234864042,0,37999.99674880527,37999.99280656206,0.027909904707212257,0.05444015077074431,0.041314321441576235,99.88966965976934,-0.43984257162409696,0.8686194572363747,73.05266380310059
68,0.015833905674397842,0.020764625339417194,0.02211248048567105,0,37999.996735113586,37999.99274519854,0.030655499318657742,0.0516415818091159,0.04678892932487723,99.88789054356693,-0.44893060481843494,0.8675972917810625,72.92830467224121
69,0.015097881476523738,0.02205874579797225,0.02166085126571203,0,37999.99680862727,37999.992865299464,0.02948921055309962,0.046424050366482866,0.03949243558957939,99.88627930102604,-0.43786884061529413,0.8444777511569329,72.81279611587524
70,0.01528715550168953,0.020194008473864235,0.021354459330549358,0,37999.99674911341,37999.99280468337,0.03009802687242789,0.05227463756348833,0.045007853756128556,99.88581538454768,-0.4519792812547984,0.8551994557815047,72.78089714050293
71,0.014664751442138779,0.023216293746146588,0.02155847009190326,0,37999.99685255196,37999.9930159947,0.02799417354639872,0.044033192315615394,0.04199138175074112,99.8922203169695,-0.42590875932213884,0.8211248618723246,72.96060180664062
