timestamp,source,file,class,ohm,charge_rate,discharge_mode,window_size,start_sample,ssim_meas_pred,r_meas_pred,ssim_meas_resid,r_meas_resid,ssim_pred_resid,r_pred_resid
2026-04-28T10:01:45+00:00,compare_bd_cs,ISC_BD_0.5CC_DST_10ohm.csv,BD,10,0.5,DST,1280,0,0.6812428108477699,0.8377460763727083,0.460326614618447,0.7560184550291242,0.5387981536350378,0.8850770125809369
2026-04-28T10:01:45+00:00,compare_bd_cs,ISC_CS_0.5CC_DST_10ohm.csv,CS,10,0.5,DST,1280,0,0.6548592254672866,0.8589167833460707,0.4503256771966464,0.7538925806184966,0.5207186131337452,0.8622785471270598
2026-04-28T10:01:50+00:00,compare_bd_cs,ISC_BD_0.5CC_DST_20ohm.csv,BD,20,0.5,DST,1280,0,0.6598972711306073,0.8607247645198707,0.4300863382177353,0.7427683957633475,0.5101040467605388,0.8651116859518293
2026-04-28T10:01:50+00:00,compare_bd_cs,ISC_CS_0.5CC_DST_20ohm.csv,CS,20,0.5,DST,1280,0,0.6853663537456379,0.8389830094038294,0.44116358783064363,0.7435995277144458,0.5315264899948524,0.8893087601174154
2026-04-28T10:01:55+00:00,compare_bd_cs,ISC_BD_0.5CC_DST_30ohm.csv,BD,30,0.5,DST,1280,0,0.6751299897370759,0.8397660340470375,0.5221769480018088,0.7819940067204014,0.5677181553024141,0.9021802203518108
2026-04-28T10:01:55+00:00,compare_bd_cs,ISC_CS_0.5CC_DST_30ohm.csv,CS,30,0.5,DST,1280,0,0.6462419560213816,0.855633846765094,0.49403848779583176,0.7851648556459755,0.5374671245267533,0.8832111011347321
2026-04-28T10:02:00+00:00,compare_bd_cs,ISC_BD_0.5CC_DST_50ohm.csv,BD,50,0.5,DST,1280,0,0.6750696893281677,0.8390414344268096,0.4207636070218712,0.7368596560490482,0.5205537851902603,0.8922262006634263
2026-04-28T10:02:00+00:00,compare_bd_cs,ISC_CS_0.5CC_DST_50ohm.csv,CS,50,0.5,DST,1280,0,0.6835112189042609,0.8400816738841388,0.45567911306902126,0.7453479907141213,0.5309411263147913,0.8891193194319116
2026-04-28T10:02:06+00:00,compare_bd_cs,ISC_BD_0.5CC_DST_100ohm.csv,BD,100,0.5,DST,1280,0,0.679827056855526,0.8488802038378302,0.44537515941787675,0.7337676115863653,0.5062274982519012,0.8899757523644469
2026-04-28T10:02:06+00:00,compare_bd_cs,ISC_CS_0.5CC_DST_100ohm.csv,CS,100,0.5,DST,1280,0,0.6742698254922251,0.8358659867581876,0.44302211950069376,0.7392324349514473,0.5231788153836541,0.8926542716821454
2026-04-28T10:02:11+00:00,compare_bd_cs,ISC_BD_0.5CC_DST_200ohm.csv,BD,200,0.5,DST,1280,0,0.6799210848844464,0.852444486422363,0.4269622183847662,0.7228152284551721,0.5359525346464648,0.8853136005801403
2026-04-28T10:02:11+00:00,compare_bd_cs,ISC_CS_0.5CC_DST_200ohm.csv,CS,200,0.5,DST,1280,0,0.6753208145223895,0.8551503301538527,0.43596754567712315,0.7311615948190527,0.5207080017975294,0.886951053806119
2026-04-28T10:02:16+00:00,compare_bd_cs,ISC_BD_0.5CC_DST_300ohm.csv,BD,300,0.5,DST,1280,0,0.6865932907193659,0.8373266327161626,0.41950382774110395,0.7332606478233599,0.5361345440972388,0.8927626291528217
2026-04-28T10:02:16+00:00,compare_bd_cs,ISC_CS_0.5CC_DST_300ohm.csv,CS,300,0.5,DST,1280,0,0.6581467468331226,0.8628996538144372,0.42029831625103425,0.7365014716136886,0.5151851672009843,0.8647055081576028
2026-04-28T10:02:21+00:00,compare_bd_cs,ISC_BD_0.5CC_DST_400ohm.csv,BD,400,0.5,DST,1280,0,0.6873384912514573,0.8551638448544686,0.4286975804028598,0.7199973444606966,0.5265343792704453,0.8848652736863376
2026-04-28T10:02:21+00:00,compare_bd_cs,ISC_CS_0.5CC_DST_400ohm.csv,CS,400,0.5,DST,1280,0,0.6693069043422016,0.8498555064455503,0.4301924877973672,0.7296044904756699,0.5168412958975467,0.8910059830900954
2026-04-28T10:02:26+00:00,compare_bd_cs,ISC_BD_0.5CC_DST_500ohm.csv,BD,500,0.5,DST,1280,0,0.6533695756054075,0.8628197964409161,0.3954733218264285,0.721947258599563,0.5190934805758476,0.8646186197690361
2026-04-28T10:02:26+00:00,compare_bd_cs,ISC_CS_0.5CC_DST_500ohm.csv,CS,500,0.5,DST,1280,0,0.6716316587796387,0.8619266126947172,0.4262009241922055,0.7291622470762652,0.5243987238502066,0.8671815391768812
2026-04-28T10:02:32+00:00,compare_bd_cs,ISC_BD_0.5CC_DST_600ohm.csv,BD,600,0.5,DST,1280,0,0.6634025157962185,0.8553557748234188,0.4057971808477798,0.725317654318296,0.5147351571252303,0.8875756016385382
2026-04-28T10:02:32+00:00,compare_bd_cs,ISC_CS_0.5CC_DST_600ohm.csv,CS,600,0.5,DST,1280,0,0.6573856043104146,0.8575846278255016,0.4093316194112914,0.7314984445582147,0.5228063941948087,0.8842941902019622
2026-04-28T10:02:37+00:00,compare_bd_cs,ISC_BD_0.5CC_DST_700ohm.csv,BD,700,0.5,DST,1280,0,0.6619921398499466,0.8629609723651859,0.40778047763135394,0.7242376167735116,0.5219783330469022,0.8644286477418757
2026-04-28T10:02:37+00:00,compare_bd_cs,ISC_CS_0.5CC_DST_700ohm.csv,CS,700,0.5,DST,1280,0,0.667321411965143,0.8414454873105913,0.42625971833304527,0.7312953490606259,0.5359984076285846,0.8918828600894315
